iter	MultiClass
397	1.03997903
398	1.039847572
399	1.039787314
400	1.039690395
401	1.039577673
402	1.039507303
403	1.039408887
404	1.039310392
405	1.039216235
406	1.039065455
407	1.038934104
408	1.038866153
409	1.03867395
410	1.038562583
411	1.038439207
412	1.03831728
413	1.03819575
414	1.03805081
415	1.038010183
416	1.037884869
417	1.03773062
418	1.037648686
419	1.037480563
420	1.037319871
421	1.037232921
422	1.037147389
423	1.037038008
424	1.036941124
425	1.036808434
426	1.036772453
427	1.036623191
428	1.036525592
429	1.036386911
430	1.03630406
431	1.036142987
432	1.036009272
433	1.035819059
434	1.035724409
435	1.035563712
436	1.035458683
437	1.03530318
438	1.035177536
439	1.035050489
440	1.034890548
441	1.034791573
442	1.034713327
443	1.034601756
444	1.034460534
445	1.03436576
446	1.034249948
447	1.034170951
448	1.034057158
449	1.033899657
450	1.03376874
451	1.033698081
452	1.033550046
453	1.033461656
454	1.033326334
455	1.033218115
456	1.033131706
457	1.033006129
458	1.032903652
459	1.032753414
460	1.0326071
461	1.032463163
462	1.032336461
463	1.032203091
464	1.03212811
465	1.032040626
466	1.031916695
467	1.031836807
468	1.031654358
469	1.03154508
470	1.031474571
471	1.031396098
472	1.031338275
473	1.031185471
474	1.031079719
475	1.031008321
476	1.030926503
477	1.030793718
478	1.030637522
479	1.030461419
480	1.030375339
481	1.030272542
482	1.030097808
483	1.029965779
484	1.029851987
485	1.0297631
486	1.029630711
487	1.029571336
488	1.029472769
489	1.029328131
490	1.029214188
491	1.029123667
492	1.029022279
493	1.02892355
494	1.028767946
495	1.028638297
496	1.02857471
497	1.028468087
498	1.028425489
499	1.028307557
500	1.028179131
501	1.028010395
502	1.027901193
503	1.027779379
504	1.027686687
505	1.027536569
506	1.027457486
507	1.027345205
508	1.027216925
509	1.027092229
510	1.026954637
511	1.026832957
512	1.026700727
513	1.02659961
514	1.026518182
515	1.026412912
516	1.026269918
517	1.026113678
518	1.026031674
519	1.025934395
520	1.025804632
521	1.025743984
522	1.025670216
523	1.025611724
524	1.025534963
525	1.025424945
526	1.025292053
527	1.025182179
528	1.02505625
529	1.024950907
530	1.024792971
531	1.024669938
532	1.024612015
533	1.02449575
534	1.024358432
535	1.024239159
536	1.024154966
537	1.023999233
538	1.023867613
539	1.023797017
540	1.02366779
541	1.023588005
542	1.023478975
543	1.023370588
544	1.023291946
545	1.023180731
546	1.02308845
547	1.023014185
548	1.022852912
549	1.022795479
550	1.022661144
551	1.022507755
552	1.022346903
553	1.022214975
554	1.022064488
555	1.02198595
556	1.021923436
557	1.021825407
558	1.021702343
559	1.021575626
560	1.021431454
561	1.021308784
562	1.021171185
563	1.021097625
564	1.02097373
565	1.020861461
566	1.020789745
567	1.02068539
568	1.020541185
569	1.020419255
570	1.020272355
571	1.020191989
572	1.020094687
573	1.020001146
574	1.019919473
575	1.01981126
576	1.019682965
577	1.019609084
578	1.019517033
579	1.019367201
580	1.019259174
581	1.019096706
582	1.019019626
583	1.018930512
584	1.018829307
585	1.018752594
586	1.018615549
587	1.018497438
588	1.018402809
589	1.018275649
590	1.018153013
591	1.018051875
592	1.017973696
593	1.01787814
594	1.017759656
595	1.017667485
596	1.017547423
597	1.017410963
598	1.017314724
599	1.017219812
600	1.017057719
601	1.016918561
602	1.016830078
603	1.016726715
604	1.016623259
605	1.016531322
606	1.016427275
607	1.016344766
608	1.016246728
609	1.016138979
610	1.015975765
611	1.015892842
612	1.015756245
613	1.015704559
614	1.015603664
615	1.015528321
616	1.015433858
617	1.015373253
618	1.015241312
619	1.015093726
620	1.01501385
621	1.014878132
622	1.014790258
623	1.014665372
624	1.014576584
625	1.014434148
626	1.014342634
627	1.01425944
628	1.014129928
629	1.014004501
630	1.013893543
631	1.013808533
632	1.013667419
633	1.013584034
634	1.013465156
635	1.013372559
636	1.013261984
637	1.013179859
638	1.013097747
639	1.013046348
640	1.012951984
641	1.012856562
642	1.012729747
643	1.012646456
644	1.012564079
645	1.012464267
646	1.012369152
647	1.012268871
648	1.012145168
649	1.012061488
650	1.011976394
651	1.011905196
652	1.011803786
653	1.011711925
654	1.011585921
655	1.011456917
656	1.011339602
657	1.011244676
658	1.01118176
659	1.011087666
660	1.010998738
661	1.010918747
662	1.01082028
663	1.010692712
664	1.010613517
665	1.010471512
666	1.01035389
667	1.010210575
668	1.010136193
669	1.010060337
670	1.009957136
671	1.009862883
672	1.009746496
673	1.009667414
674	1.009541844
675	1.009477238
676	1.009339199
677	1.009227918
678	1.009121432
679	1.009048821
680	1.008938916
681	1.008870582
682	1.008805791
683	1.008720623
684	1.008637867
685	1.00850211
686	1.008389783
687	1.008288408
688	1.008151229
689	1.008009219
690	1.007921847
691	1.007811069
692	1.007662602
693	1.007519531
694	1.007456103
695	1.007315169
696	1.007225227
697	1.007121531
698	1.007008982
699	1.00688593
700	1.006804375
701	1.006743773
702	1.006649035
703	1.006530156
704	1.006448637
705	1.006336814
706	1.006236896
707	1.00608112
708	1.005985242
709	1.005863106
710	1.00579478
711	1.005673144
712	1.005543532
713	1.005425036
714	1.00528201
715	1.005161528
716	1.005063716
717	1.004978449
718	1.004843099
719	1.004699444
720	1.004542114
721	1.004428129
722	1.004317902
723	1.004248
724	1.004154739
725	1.003990084
726	1.00385611
727	1.003761767
728	1.003618045
729	1.003511837
730	1.003376758
731	1.003283539
732	1.003154939
733	1.003073804
734	1.002953287
735	1.002851334
736	1.002738565
737	1.002604177
738	1.002524676
739	1.002396288
740	1.002288717
741	1.002199895
742	1.002119897
743	1.002004628
744	1.001929724
745	1.001841239
746	1.001772042
747	1.001678443
748	1.001523517
749	1.001388337
750	1.001294205
751	1.001214645
752	1.001141325
753	1.001025753
754	1.000940453
755	1.000805879
756	1.000702962
757	1.000560386
758	1.000467618
759	1.000312364
760	1.000204088
761	1.000103882
762	1.000014329
763	0.999885728
764	0.9998252816
765	0.99970677
766	0.9995803556
767	0.9994889606
768	0.9994699107
769	0.9993111997
770	0.9991887736
771	0.9990741757
772	0.9989667178
773	0.9988399888
774	0.9987539721
775	0.9986342016
776	0.9985778392
777	0.9984857677
778	0.9983808662
779	0.9982873466
780	0.9981927999
781	0.9980721443
782	0.9979840698
783	0.9978933696
784	0.9977997802
785	0.9976696402
786	0.9975703393
787	0.9974445558
788	0.997356667
789	0.9972736112
790	0.9971759219
791	0.997003803
792	0.9969497827
793	0.9968704459
794	0.996785597
795	0.9966801388
796	0.9965667224
797	0.9964778058
798	0.9963647856
799	0.9962914495
800	0.9961855205
801	0.9960516935
802	0.9959674892
803	0.995882919
804	0.995790221
805	0.9956889937
806	0.9955681107
807	0.9954835601
808	0.9953527074
809	0.9952423532
810	0.9951670264
811	0.9950254875
812	0.9949120868
813	0.9948048515
814	0.9947126216
815	0.994628545
816	0.9945214748
817	0.9944231129
818	0.9943714209
819	0.9942507158
820	0.9941660805
821	0.9940690501
822	0.993982066
823	0.9938694357
824	0.993725023
825	0.9936598313
826	0.9935247976
827	0.9934461088
828	0.9933719519
829	0.9932092831
830	0.9931013128
831	0.9930066277
832	0.9929319917
833	0.9928083307
834	0.9926682915
835	0.9925910901
836	0.9924696151
837	0.9923795462
838	0.9923217234
839	0.9922208874
840	0.9921457767
841	0.9920649416
842	0.9919657263
843	0.9918748849
844	0.9917740038
845	0.9916990714
846	0.9916068291
847	0.9915285914
848	0.9914082494
849	0.9913173776
850	0.9912257681
851	0.991128102
852	0.9910034577
853	0.9909311436
854	0.9908517335
855	0.9907532343
856	0.9906816724
857	0.9906009185
858	0.9905075037
859	0.990428022
860	0.9902998698
861	0.9902394372
862	0.990147901
863	0.9900100856
864	0.989920913
865	0.9898586464
866	0.9897851233
867	0.9896711168
868	0.9895643045
869	0.9894921837
870	0.9894403578
871	0.9893214155
872	0.9891573
873	0.9890487209
874	0.988960973
875	0.988887732
876	0.9887396909
877	0.9886267702
878	0.9885092585
879	0.9884146024
880	0.9882808188
881	0.9881817726
882	0.9880806338
883	0.9879362357
884	0.9878684995
885	0.9877508183
886	0.9876868574
887	0.9876180145
888	0.9875366112
889	0.9874028494
890	0.9873357724
891	0.9872587259
892	0.987129418
893	0.9870096923
894	0.9869425694
895	0.9868561721
896	0.9867680543
897	0.9866935283
898	0.9865641979
899	0.9864937065
900	0.9864003966
901	0.986320334
902	0.9862264386
903	0.9861094135
904	0.9859906351
905	0.9858958815
906	0.985809347
907	0.9857120007
908	0.9855784949
909	0.9855261816
910	0.9854442907
911	0.9853786956
912	0.9852746025
913	0.9851862712
914	0.985081854
915	0.9850051316
916	0.9849218756
917	0.984884679
918	0.984765424
919	0.9846761751
920	0.9845734394
921	0.9844970477
922	0.9843856107
923	0.9843205876
924	0.9842517061
925	0.9841482128
926	0.984095741
927	0.9840019632
928	0.9839167987
929	0.9838336731
930	0.9837423835
931	0.9836757216
932	0.9836262056
933	0.9834783965
934	0.9833903486
935	0.9832583927
936	0.9831890588
937	0.9831070562
938	0.9829870463
939	0.9828726228
940	0.9827827581
941	0.982688247
942	0.9826300049
943	0.9825786188
944	0.9824506977
945	0.9823583011
946	0.9822628461
947	0.9821808948
948	0.9820506438
949	0.9819521119
950	0.981880863
951	0.9817807418
952	0.9816731315
953	0.9815903997
954	0.9815104378
955	0.9814370506
956	0.9813450363
957	0.9812810617
958	0.9812138626
959	0.9811262779
960	0.981021819
961	0.9809262471
962	0.9808231175
963	0.9807048533
964	0.980646039
965	0.9805501993
966	0.9804712318
967	0.980369556
968	0.9802389411
969	0.9801606248
970	0.9800633054
971	0.9800160471
972	0.9799111116
973	0.9798500952
974	0.9797803391
975	0.9796964437
976	0.9795831762
977	0.9794553272
978	0.9793593039
979	0.9792577311
980	0.9791531513
981	0.979069533
982	0.9789551364
983	0.9788768617
984	0.9788009313
985	0.9787500273
986	0.978644672
987	0.9785503624
988	0.9784584358
989	0.9783594478
990	0.9782664958
991	0.9781809124
992	0.97809567
993	0.9779926198
994	0.9779100228
995	0.9778367088
996	0.9777356343
997	0.9776640877
998	0.9776013811
999	0.9774898593
