iter	Passed	Remaining
408	3769	5446
409	3778	5437
410	3787	5428
411	3799	5422
412	3808	5413
413	3818	5405
414	3827	5394
415	3836	5386
416	3844	5375
417	3853	5365
418	3862	5356
419	3873	5348
420	3883	5340
421	3892	5330
422	3901	5321
423	3908	5310
424	3916	5298
425	3923	5286
426	3931	5275
427	3939	5265
428	3948	5256
429	3956	5244
430	3963	5232
431	3969	5218
432	3975	5205
433	3982	5193
434	3988	5179
435	3995	5169
436	4004	5158
437	4012	5148
438	4019	5136
439	4026	5124
440	4032	5111
441	4040	5100
442	4046	5087
443	4053	5075
444	4059	5063
445	4066	5051
446	4074	5040
447	4082	5030
448	4090	5019
449	4098	5008
450	4104	4996
451	4113	4986
452	4123	4979
453	4133	4970
454	4141	4960
455	4154	4956
456	4163	4947
457	4171	4937
458	4180	4927
459	4190	4919
460	4202	4913
461	4213	4906
462	4221	4896
463	4231	4887
464	4239	4877
465	4248	4868
466	4255	4857
467	4274	4859
468	4290	4857
469	4300	4849
470	4312	4843
471	4321	4834
472	4333	4828
473	4342	4819
474	4350	4808
475	4361	4801
476	4370	4791
477	4377	4780
478	4386	4770
479	4393	4759
480	4400	4747
481	4409	4738
482	4417	4728
483	4425	4718
484	4433	4707
485	4439	4695
486	4447	4684
487	4455	4674
488	4465	4666
489	4474	4657
490	4484	4648
491	4493	4639
492	4502	4630
493	4513	4622
494	4523	4614
495	4533	4606
496	4543	4598
497	4552	4588
498	4561	4580
499	4572	4572
500	4585	4567
501	4596	4560
502	4608	4553
503	4617	4544
504	4627	4535
505	4638	4528
506	4646	4518
507	4655	4509
508	4663	4498
509	4670	4487
510	4678	4477
511	4686	4466
512	4693	4456
513	4701	4445
514	4708	4434
515	4715	4422
516	4722	4411
517	4729	4400
518	4736	4390
519	4745	4380
520	4753	4370
521	4761	4360
522	4769	4350
523	4778	4341
524	4786	4330
525	4793	4319
526	4801	4309
527	4808	4298
528	4815	4287
529	4822	4276
530	4831	4267
531	4840	4257
532	4847	4247
533	4859	4240
534	4869	4232
535	4880	4225
536	4889	4215
537	4899	4207
538	4909	4198
539	4921	4192
540	4928	4181
541	4936	4171
542	4944	4161
543	4951	4150
544	4958	4139
545	4965	4128
546	4972	4117
547	4979	4107
548	4986	4096
549	4993	4085
550	5001	4075
551	5009	4065
552	5017	4056
553	5025	4045
554	5033	4035
555	5041	4025
556	5048	4015
557	5057	4005
558	5066	3996
559	5074	3986
560	5082	3977
561	5089	3966
562	5097	3956
563	5106	3947
564	5116	3939
565	5124	3929
566	5134	3920
567	5143	3912
568	5152	3903
569	5163	3895
570	5172	3886
571	5182	3877
572	5190	3868
573	5200	3859
574	5208	3849
575	5217	3840
576	5223	3829
577	5231	3819
578	5243	3812
579	5252	3803
580	5260	3793
581	5269	3784
582	5276	3774
583	5289	3768
584	5301	3761
585	5309	3750
586	5318	3741
587	5325	3731
588	5333	3721
589	5342	3712
590	5349	3702
591	5357	3692
592	5366	3682
593	5374	3673
594	5381	3662
595	5387	3652
596	5394	3641
597	5402	3631
598	5409	3621
599	5416	3611
600	5424	3601
601	5432	3591
602	5440	3582
603	5452	3574
604	5461	3565
605	5468	3555
606	5475	3545
607	5482	3534
608	5488	3524
609	5494	3513
610	5500	3502
611	5507	3491
612	5515	3481
613	5522	3471
614	5528	3460
615	5535	3450
616	5541	3440
617	5549	3429
618	5555	3419
619	5562	3409
620	5569	3399
621	5576	3388
622	5583	3378
623	5589	3368
624	5597	3358
625	5605	3348
626	5612	3339
627	5619	3329
628	5626	3318
629	5633	3308
630	5641	3298
631	5648	3288
632	5656	3279
633	5664	3269
634	5671	3260
635	5678	3250
636	5686	3240
637	5693	3230
638	5701	3220
639	5708	3210
640	5716	3201
641	5722	3191
642	5730	3181
643	5737	3171
644	5745	3162
645	5751	3151
646	5757	3141
647	5764	3131
648	5770	3120
649	5777	3110
650	5784	3101
651	5791	3090
652	5798	3081
653	5804	3070
654	5811	3061
655	5818	3051
656	5825	3041
657	5832	3031
658	5839	3021
659	5846	3011
660	5853	3002
661	5860	2992
662	5868	2982
663	5874	2972
664	5882	2963
665	5889	2953
666	5897	2944
667	5905	2934
668	5913	2925
669	5921	2916
670	5928	2906
671	5935	2897
672	5941	2886
673	5947	2876
674	5954	2866
675	5960	2856
676	5966	2846
677	5973	2837
678	5980	2827
679	5986	2817
680	5993	2807
681	6000	2797
682	6006	2787
683	6013	2777
684	6019	2768
685	6026	2758
686	6033	2748
687	6040	2739
688	6047	2729
689	6054	2720
690	6062	2711
691	6071	2702
692	6079	2693
693	6088	2684
694	6096	2675
695	6106	2667
696	6126	2663
697	6132	2653
698	6138	2643
699	6145	2633
700	6150	2623
701	6157	2613
702	6164	2604
703	6171	2594
704	6177	2584
705	6183	2575
706	6190	2565
707	6197	2555
708	6203	2546
709	6210	2536
710	6217	2527
711	6224	2517
712	6232	2508
713	6239	2499
714	6246	2490
715	6254	2480
716	6263	2472
717	6272	2463
718	6280	2454
719	6289	2446
720	6297	2436
721	6305	2427
722	6313	2418
723	6321	2409
724	6330	2401
725	6339	2392
726	6347	2383
727	6355	2374
728	6364	2365
729	6372	2356
730	6379	2347
731	6387	2338
732	6399	2330
733	6407	2321
734	6415	2312
735	6423	2304
736	6431	2295
737	6438	2285
738	6445	2276
739	6453	2267
740	6460	2258
741	6467	2248
742	6474	2239
743	6482	2230
744	6490	2221
745	6497	2212
746	6505	2203
747	6513	2194
748	6521	2185
749	6529	2176
750	6537	2167
751	6544	2158
752	6552	2149
753	6560	2140
754	6567	2131
755	6574	2121
756	6581	2112
757	6588	2103
758	6596	2094
759	6604	2085
760	6611	2076
761	6618	2067
762	6625	2058
763	6633	2048
764	6639	2039
765	6646	2030
766	6652	2021
767	6660	2011
768	6665	2002
769	6672	1992
770	6678	1983
771	6684	1974
772	6690	1964
773	6697	1955
774	6704	1946
775	6711	1937
776	6718	1928
777	6725	1919
778	6731	1909
779	6738	1900
780	6745	1891
781	6752	1882
782	6759	1873
783	6765	1864
784	6773	1855
785	6780	1846
786	6787	1837
787	6794	1828
788	6802	1819
789	6809	1810
790	6815	1800
791	6822	1791
792	6828	1782
793	6835	1773
794	6841	1764
795	6847	1754
796	6853	1745
797	6860	1736
798	6867	1727
799	6873	1718
800	6880	1709
801	6886	1700
802	6893	1691
803	6900	1682
804	6907	1673
805	6913	1664
806	6920	1655
807	6927	1646
808	6934	1637
809	6942	1628
810	6949	1619
811	6956	1610
812	6963	1601
813	6970	1592
814	6977	1583
815	6984	1575
816	6992	1566
817	6998	1557
818	7004	1548
819	7010	1538
820	7017	1529
821	7023	1520
822	7029	1511
823	7035	1502
824	7041	1493
825	7048	1484
826	7056	1476
827	7062	1467
828	7069	1458
829	7075	1449
830	7082	1440
831	7089	1431
832	7096	1422
833	7103	1413
834	7110	1405
835	7116	1396
836	7123	1387
837	7130	1378
838	7137	1369
839	7144	1360
840	7152	1352
841	7158	1343
842	7164	1334
843	7170	1325
844	7176	1316
845	7183	1307
846	7189	1298
847	7196	1290
848	7203	1281
849	7210	1272
850	7217	1263
851	7224	1255
852	7232	1246
853	7239	1237
854	7248	1229
855	7256	1220
856	7263	1212
857	7270	1203
858	7277	1194
859	7283	1185
860	7289	1176
861	7296	1168
862	7302	1159
863	7310	1150
864	7316	1141
865	7324	1133
866	7330	1124
867	7337	1115
868	7344	1107
869	7350	1098
870	7357	1089
871	7364	1081
872	7371	1072
873	7378	1063
874	7385	1055
875	7393	1046
876	7400	1037
877	7407	1029
878	7413	1020
879	7419	1011
880	7425	1003
881	7432	994
882	7438	985
883	7446	977
884	7452	968
885	7459	959
886	7466	951
887	7472	942
888	7479	933
889	7486	925
890	7492	916
891	7499	908
892	7506	899
893	7512	890
894	7519	882
895	7525	873
896	7530	864
897	7538	856
898	7545	847
899	7551	839
900	7558	830
901	7566	822
902	7572	813
903	7579	804
904	7586	796
905	7592	787
906	7599	779
907	7607	770
908	7614	762
909	7620	753
910	7627	745
911	7634	736
912	7641	728
913	7647	719
914	7653	711
915	7661	702
916	7669	694
917	7676	685
918	7683	677
919	7689	668
920	7695	660
921	7702	651
922	7709	643
923	7716	634
924	7723	626
925	7730	617
926	7737	609
927	7744	600
928	7751	592
929	7758	583
930	7765	575
931	7771	567
932	7778	558
933	7784	550
934	7791	541
935	7798	533
936	7804	524
937	7811	516
938	7817	507
939	7824	499
940	7830	490
